Sensor #3 initiated. starting percentage: 78,7%, years running: 2,1, waiting 249 (simulated) seconds
Sensor #1 initiated. starting percentage: 96,5%, years running: 0,3, waiting 134 (simulated) seconds
Sensor #2 initiated. starting percentage: 57,0%, years running: 4,3, waiting 106 (simulated) seconds
Sensor #2 started.
Sensor #1 started.
Sensor #3 started.
Sensor #1 switched to 'low. Years running: 0,3, percentage left 96,5%'
Sensor #2 switched to 'low. Years running: 4,3, percentage left 56,9%'
Sensor #3 switched to 'low. Years running: 2,1, percentage left 78,6%'
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Processed: 30, queued: 0
Sensor #1 switched to 'middle. Years running: 6,5, percentage left 51,6%'
Processed: 31, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Sensor #1 switched to 'low. Years running: 6,7, percentage left 48,4%'
Sensor #1 switched to 'middle. Years running: 6,7, percentage left 48,4%'
Processed: 39, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Sensor #3 switched to 'low. Years running: 8,8, percentage left 18,2%'
Sensor #3 switched to 'middle. Years running: 8,8, percentage left 18,2%'
Processed: 38, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 41, queued: 0
Processed: 39, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Processed: 40, queued: 0
Sensor #1 switched to 'low. Years running: 7,4, percentage left 38,1%'
Sensor #1 switched to 'middle. Years running: 7,4, percentage left 38,1%'
Processed: 38, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 41, queued: 0
Processed: 39, queued: 0
Processed: 41, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 39, queued: 0
Processed: 40, queued: 0
Processed: 40, queued: 0
Processed: 41, queued: 0
Processed: 40, queued: 0
Sensor #3 has stopped. Years running 10,0
Processed: 20, queued: 0
Processed: 20, queued: 0
Sensor #1 switched to 'low. Years running: 8,3, percentage left 25,0%'
Sensor #1 switched to 'middle. Years running: 8,3, percentage left 24,9%'
Processed: 19, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 19, queued: 0
Processed: 21, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 19, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
Processed: 20, queued: 0
